DBN,min,max,mean
11X270,10,35.5,26.88787879
11X275,14.3,34.5,25.22222222
11X288,13.5,33.7,27.46052632
11X290,10,33,24.62
11X299,9,34,25.309375
11X370,32,32,32
11X418,12,31,23.4030303
11X455,6,33.5,22.24878049
11X508,14,28.3,22.75757576
11X509,11,23.1,17.8
11X513,20,26,23.11666667
11X514,10,34,26.66052632
11X542,5,34,24.48857143
11X544,10,96,28.49473684
11X545,6,34,22.31515152
12X242,5,32,21.02857143
12X248,9,33,24.20588235
12X251,13,30,24.22173913
12X267,18,38,25.38333333
12X271,6.5,33,21.13714286
12X278,9,38,21.95833333
12X372,11,34,27.43333333
12X388,15.8,23.3,17.73333333
12X446,16,29,19.83333333
12X478,15,33,24.62727273
12X479,12,34,23.44230769
12X480,22.4,33.8,30.33571429
12X511,17.3,34,26.94444444
12X521,18,34,26.89333333
12X550,16.5,31,24.90666667
12X684,15,32.5,27.0125
12X692,8,32,20.78333333
13K265,18,34,23.78571429
13K350,5,28,20.75142857
13K412,12,33.7,22.26153846
13K419,17,34,28.41851852
13K430,23.3,33.8,32.02105263
13K439,12,30,21.08571429
13K483,22,34,28.79655172
13K492,16,16,16
13K499,11,34,23.59230769
13K527,15,28,24.165625
13K553,14.5,26,20.68461538
13K575,11,26,18.2625
13K595,13.5,38,22.00416667
13K605,13,33,25.5030303
13K616,16,32,24.39444444
13K670,16.5,34,26.528125
13K674,16,34,25.8
14K071,7,34,22.79375
14K322,10,21,15.39473684
14K449,19.3,31.6,27.49285714
14K454,17,31,23.816
14K474,5,34,25.29069767
14K477,16.7,33.5,26.85666667
14K478,9,36.9,25.89142857
14K488,17.5,33,25.26060606
14K558,11,31,25.60357143
14K561,17,32.3,25.60625
14K586,16,34,26.91818182
14K610,5,33,21.18518519
14K614,17,33,26.11111111
14K632,11,33,18.73809524
14K685,20,29,23.51176471
15K423,10,19,15.6125
15K429,12,33,20.70689655
15K448,13,35.7,29.06333333
15K462,11,32,19.5137931
15K463,10,29,15.47307692
15K464,19,30,23.38461538
15K497,19.8,29,25.3
15K519,6,34,25.1375
15K529,11,24,16.6
15K592,13,26.5,21.12666667
15K656,8,34,24.585
15K667,13,32.5,24.8575
15K684,17,33,24.82068966
15K698,10,25,17.40555556
16K393,8,25,15.44736842
16K455,5,33,17.82424242
